,cohort_month,cohort,distinct_cust_count,%Alive,E(% Alive),P(ChurnTime = t),E(# of Cust),t * P(ChurnTime = t)
0,2018-01-01,0,987.0,1.0,1.0000000000000002,1.0000000000000002,987.0000000000002,0.0
1,2018-02-01,1,869.0,0.8804457953394124,0.8490964124747086,0.15090358752529165,838.0581591125374,0.15090358752529165
2,2018-03-01,2,743.0,0.7527862208713273,0.746902472971126,0.10219393950358258,737.1927408225014,0.20438787900716515
3,2018-04-01,3,653.0,0.6616008105369807,0.6721419947498724,0.07476047822125365,663.404148818124,0.22428143466376094
4,2018-05-01,4,593.0,0.6008105369807497,0.6145587879682338,0.05758320678163853,606.5695237246467,0.23033282712655412
5,2018-06-01,5,551.0,0.5582573454913881,0.5685398099584321,0.0460189780098017,561.1487924289725,0.23009489004900852
6,2018-07-01,6,517.0,0.5238095238095238,0.5307288931960542,0.03781091676237791,523.8294175845054,0.22686550057426746
7,2018-08-01,7,491.0,0.49746707193515705,0.4989835490548662,0.031745344141188014,492.4967629171529,0.2222174089883161
8,2018-09-01,8,468.0,0.47416413373860183,0.4718652483405975,0.027118300714268684,465.73100011216974,0.21694640571414947
9,2018-10-01,9,445.0,0.4508611955420466,0.44836853442954905,0.02349671391104846,442.53974348196493,0.21147042519943615
10,2018-11-01,10,427.0,0.4326241134751773,0.4277672535042086,0.02060128092534047,422.2062792086539,0.2060128092534047
11,2018-12-01,11,409.0,0.414387031408308,0.4095224975152647,0.018244755988943873,404.19870504756625,0.2006923158783826
12,2019-01-01,12,394.0,0.39918946301925023,0.3932250196524834,0.016297477862781296,388.11309439700113,0.19556973435337555
13,2019-02-01,13,,,0.3785578606357528,0.014667159016730602,373.636608447488,0.19067306721749783
14,2019-03-01,14,,,0.3652713179620684,0.013286542673684398,360.52279082856154,0.18601159743158158
15,2019-04-01,15,,,0.3531657209596205,0.012105597002447899,348.57456658714545,0.18158395503671848
16,2019-05-01,16,,,0.3420792938077678,0.011086427151852707,337.6322629882668,0.1773828344296433
17,2019-06-01,17,,,0.3318794238285703,0.010199869979197529,327.5649913187989,0.173397789646358
18,2019-07-01,18,,,0.32245626263882643,0.009423161189743845,318.2643312245217,0.1696169014153892
19,2019-08-01,19,,,0.3137179589685613,0.008738303670265124,309.63962550197,0.16602776973503736
20,2019-09-01,20,,,0.30558705409051523,0.008130904878046075,301.61442238733855,0.1626180975609215
21,2019-10-01,21,,,0.2979977196053776,0.007589334485137655,294.1237492505077,0.15937602418789076
22,2019-11-01,22,,,0.2908936148494626,0.007104104755914997,287.1119978564196,0.15629030463012994
23,2019-12-01,23,,,0.2842262064019923,0.006667408447470269,280.5312657187664,0.15335039429181618
24,2020-01-01,24,,,0.27795343657617083,0.006272769825821478,274.3400419006806,0.15054647581971548
25,2020-02-01,25,,,0.27203865852466635,0.005914778051504477,268.50215596384567,0.14786945128761192
26,2020-03-01,26,,,0.2664497772061355,0.005588881318530858,262.9859301024557,0.14531091428180232
27,2020-04-01,27,,,0.26115855086999745,0.005291226336138044,257.7634897086875,0.1428631110757272
28,2020-05-01,28,,,0.2561400188464826,0.005018532023514877,252.8101986014783,0.14051889665841655
29,2020-06-01,29,,,0.2513720295640409,0.004767989282441654,248.1041931797084,0.13827168919080796
30,2020-07-01,30,,,0.24683484872884678,0.004537180835194138,243.62599569537178,0.13611542505582414
31,2020-08-01,31,,,0.24251083209059188,0.004324016638254907,239.35819127341418,0.13404451578590212
32,2020-09-01,32,,,0.2383841506048171,0.004126681485774775,235.28515664695448,0.1320538075447928
33,2020-10-01,33,,,0.23444055837751618,0.003943592227300924,231.39283111860846,0.1301385435009305
34,2020-11-01,34,,,0.2306671957544725,0.0037733626230436745,227.66852220966436,0.12829432918348493
35,2020-12-01,35,,,0.2270524214467488,0.003614774307723695,224.10073996794108,0.12651710077032932
36,2021-01-01,36,,,0.2235856687748245,0.0034667526719243114,220.67905508075177,0.12480309618927521
37,2021-02-01,37,,,0.2202573220492856,0.0033283467255388888,217.3939768626449,0.12314882884493888
38,2021-03-01,38,,,0.2170586098444115,0.00319871220487411,214.23684791643416,0.12155106378521618
39,2021-04-01,39,,,0.21398151250838782,0.003077097336023682,211.19975284577876,0.1200067961049236
40,2021-05-01,40,,,0.2110186817239592,0.002962830784428605,208.27543886154774,0.1185132313771442
41,2021-06-01,41,,,0.20816337031065463,0.0028553114133045843,205.4572464966161,0.11706776794548795
42,2021-07-01,42,,,0.2054093707660497,0.0027539995446049237,202.73904894609106,0.1156679808734068
43,2021-08-01,43,,,0.20275096129140407,0.002658409474645629,200.11519879461582,0.11431160740976204
44,2021-09-01,44,,,0.20018285825021562,0.0025681030411884576,197.58048109296283,0.11299653381229213
45,2021-10-01,45,,,0.1977001741748862,0.002482684075329422,195.13007191061268,0.111720783389824
46,2021-11-01,46,,,0.19529838057377685,0.002401793601109342,192.75950162631776,0.11048250565102974
47,2021-12-01,47,,,0.19297327490487345,0.002325105668903399,190.4646223311101,0.10927996643845975
48,2022-01-01,48,,,0.19072095117662222,0.0022523237282512376,188.24157881132612,0.1081115389560594
49,2022-02-01,49,,,0.18853777371535385,0.002183177461268365,186.08678265705424,0.1069756956021499
50,2022-03-01,50,,,0.1864203537049277,0.002117420010426141,183.99688910676366,0.10587100052130705
51,2022-04-01,51,,,0.18436552815966012,0.002054825545267591,181.96877629358454,0.10479610280864715
52,2022-05-01,52,,,0.1823703410384337,0.001995187121226427,179.99952660493406,0.10374973030377421
53,2022-06-01,53,,,0.18043202624752736,0.001938314790906337,178.0864099063095,0.10273068391803586
54,2022-07-01,54,,,0.17854799231362015,0.0018840339339072087,176.2268684135431,0.10173783243098927
55,2022-08-01,55,,,0.1767158085365364,0.0018321837770837457,174.41850302556142,0.10077010773960601
56,2022-09-01,56,,,0.17493319245660113,0.0017826160799352675,172.6590609546653,0.09982650047637498
57,2022-10-01,57,,,0.17319799849149847,0.0017351939651026604,170.946424511109,0.09890605601085165
58,2022-11-01,58,,,0.1715082076164761,0.0016897908750223845,169.2786009174619,0.0980078707512983
59,2022-12-01,59,,,0.1698619179766815,0.0016462896397946014,167.65371304298463,0.09713108874788148
60,2023-01-01,60,,,0.1682573363337644,0.0016045816429170745,166.06999096142548,0.09627489857502447
61,2023-02-01,61,,,0.16669277026105944,0.0015645660727049704,164.52576424766568,0.0954385304350032
62,2023-03-01,62,,,0.16516662101105645,0.001526149250002995,163.0194549379127,0.09462125350018569
63,2023-04-01,63,,,0.16367737698802884,0.0014892440230276083,161.54957108718446,0.09382237345073932
64,2023-05-01,64,,,0.16222360776621975,0.0014537692218090925,160.1147008652589,0.09304123019578192
65,2023-06-01,65,,,0.16080395860057634,0.0014196491656434107,158.71350713876885,0.0922771957668217
66,2023-07-01,66,,,0.15941714538293753,0.0013868132176388104,157.34472249295933,0.09152967236416149
67,2023-08-01,67,,,0.1580619500017352,0.0013551953812023232,156.00714465171265,0.09079809054055565
68,2023-09-01,68,,,0.15673721606755278,0.0013247339341824205,154.6996322586746,0.09008190752440459
69,2023-10-01,69,,,0.1554418449712008,0.0012953710963519716,153.4211009865752,0.08938060564828604
70,2023-11-01,70,,,0.15417479224402808,0.0012670527271727294,152.17051994485573,0.08869369090209106
71,2023-12-01,71,,,0.15293506419377287,0.0012397280502552122,150.94690835925383,0.08802069156812006
72,2024-01-01,72,,,0.15172171479135496,0.001213349402417907,149.74933249906735,0.0873611569740893
73,2024-02-01,73,,,0.1505338427872214,0.001187872004133561,148.57690283098754,0.08671465630174996
74,2024-03-01,74,,,0.1493705890372535,0.0011632537499678963,147.42877137976922,0.08608077749762433
75,2024-04-01,75,,,0.14823113402068058,0.0011394550165729211,146.30412927841172,0.08545912624296909
76,2024-05-01,76,,,0.14711469553384796,0.0011164384868326271,145.20220449190793,0.08484932499927966
77,2024-06-01,77,,,0.146020526545414,0.0010941689884339523,144.1222597003236,0.08425101210941432
78,2024-07-01,78,,,0.1449479131998274,0.001072613345586615,143.06359032822962,0.08366384095575596
79,2024-08-01,79,,,0.1438961729570472,0.0010517402427801803,142.0255227086056,0.08308747917963424
80,2024-09-01,80,,,0.14286465285780114,0.0010315200992460638,141.00741237064972,0.0825216079396851
81,2024-10-01,81,,,0.14185272790442555,0.001011924953375598,140.008642441668,0.08196592122342344
82,2024-11-01,82,,,0.14085979954845915,0.0009929283559663993,139.02862215432918,0.08142012518924474
83,2024-12-01,83,,,0.13988529427644839,0.0009745052720107616,138.06678545085455,0.08088393757689322
84,2025-01-01,84,,,0.13892866228708117,0.0009566319893672126,137.1225896773491,0.08035708710684586
85,2025-02-01,85,,,0.1379893762521927,0.0009392860348884646,136.19551436091422,0.0798393129655195
86,2025-03-01,86,,,0.1370669301558481,0.0009224460963446202,135.28506006382207,0.07933036428563733
87,2025-04-01,87,,,0.13616083820566324,0.0009060919501848452,134.39074730898963,0.07882999966608153
88,2025-05-01,88,,,0.1352706338110113,0.0008902043946519556,133.51211557146814,0.07833798672937209
89,2025-06-01,89,,,0.13439586862340908,0.0008747651876022111,132.64872233130475,0.07785410169659679
90,2025-07-01,90,,,0.1335361116348032,0.0008597569886058809,131.80014218355075,0.07737812897452928
91,2025-08-01,91,,,0.13269094832933237,0.0008451633054708252,130.96596600105104,0.07690986079784509
92,2025-09-01,92,,,0.13185997988534828,0.000830968443984087,130.14580014683875,0.076449096846536
93,2025-10-01,93,,,0.13104282242364224,0.0008171574617060473,129.3392657321349,0.0759956439386624
94,2025-11-01,94,,,0.13023910629939614,0.0008037161242460955,128.545997917504,0.07554931567913298
95,2025-12-01,95,,,0.12944847543439858,0.0007906308649975602,127.7656452537514,0.07510993217476822
96,2026-01-01,96,,,0.12867058668684608,0.0007778887475524965,126.99786905991708,0.07467731976503966
97,2026-02-01,97,,,0.12790510925692636,0.0007654774299197253,126.24234283658632,0.07425131070221336
98,2026-03-01,98,,,0.1271517241247974,0.0007533851321289697,125.49875171117502,0.07383174294863903
99,2026-04-01,99,,,0.12641012351974348,0.0007416006050539048,124.76679191398682,0.07341845990033657
100,2026-05-01,100,,,0.12568001041810087,0.0007301131016426154,124.04617028266556,0.07301131016426154
101,2026-06-01,101,,,0.12496109806813262,0.0007189123499682509,123.3366037932469,0.07261014734679334
102,2026-07-01,102,,,0.12425310954038635,0.00070798852774627,122.63781911636133,0.07221482983011954
103,2026-08-01,103,,,0.12355577730162721,0.0006973322387591324,121.94955219670607,0.07182522059219064
104,2026-09-01,104,,,0.12286884281118009,0.0006869344904471275,121.27154785463475,0.07144118700650126
105,2026-10-01,105,,,0.12219205613811918,0.0006767866730609112,120.60355940832363,0.07106260067139568
106,2026-11-01,106,,,0.12152517559822354,0.0006668805398956368,119.94534831544664,0.0706893372289375
107,2026-12-01,107,,,0.12086796740926138,0.0006572081889621578,119.29668383294099,0.07032127621895089
108,2027-01-01,108,,,0.12022020536372952,0.0006477620455318661,118.65734269400103,0.06995830091744154
109,2027-02-01,109,,,0.11958167051804282,0.0006385348456866974,118.02710880130826,0.06960029817985001
110,2027-03-01,110,,,0.11895215089688131,0.0006295196211615062,117.40577293522186,0.06924715832776568
111,2027-04-01,111,,,0.11833144121238494,0.0006207096844963733,116.79313247662394,0.06889877497909744
112,2027-05-01,112,,,0.11771934259659445,0.0006120986157904934,116.18899114283872,0.06855504496853526
113,2027-06-01,113,,,0.1171156623473064,0.0006036802492880439,115.59315873679142,0.06821586816954896
114,2027-07-01,114,,,0.11652021368558173,0.0005954486617246735,115.00545090766917,0.06788114743661278
115,2027-08-01,115,,,0.1159328155251681,0.0005873981604136297,114.42568892334091,0.06755078844756741
116,2027-09-01,116,,,0.11535329225249721,0.0005795232726708843,113.85369945321474,0.06722469962982258
117,2027-10-01,117,,,0.11478147351709209,0.0005718187354051274,113.28931436136989,0.0669027920423999
118,2027-11-01,118,,,0.11421719403154135,0.0005642794855507394,112.73237050913131,0.06658497929498725
119,2027-12-01,119,,,0.11366029338088784,0.0005569006506535024,112.1827095669363,0.06627117742776678
120,2028-01-01,120,,,0.1131106158403361,0.0005496775405517407,111.64017783441173,0.06596130486620888
